label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13	col_14
1	600 mph	0.1179	fabrice	Baseball	359	aNDREW	958 m/s	913	-597	652	0.3977	2.2247	Bioinformatics	-75	0.7676
6	518 mph	1.0059	Tony	ice hockey	2650	Fabrice	456 m/s	2392	447	-191	1.2029	1.3058	Computer Game Design	575	1.0125
3	-585 mph	-0.3057	Andrew	soccer	1234	Tony	1117 m/s	93	227	1153	0.8166	1.1266	Biotechnology	1845	2.2419
3	-1042 mph	-0.2849	Andrew	soccer	705	Tony	557 m/s	1275	1581	-701	-0.2707	-0.1947	Natural Language Processing	489	0.1878
1	473 mph	-0.4617	Fabrice	baseball	249	Lise	839 m/s	211	-819	-753	1.3098	1.7498	Bioinformatics	924	-0.0791
7	267 mph	-0.2594	Inan	basketball	-178	Inan	1362 m/s	557	-470	224	-0.038	1.2435	Computational Media	845	0.5957
2	927 mph	0.6301	Vani	track & field	930	Reilly	2580 m/s	3209	1254	575	-0.632	0.7487	dATA sCIENCE	-605	1.4734
0	1243 mph	-0.71	Fabrice	motor sports	-313	Michael	212 m/s	437	262	1320	1.3147	1.4556	Electrical Engineering	-663	1.055
2	1413 mph	1.7903	Reilly	track & field	576	Lise	360 m/s	1349	1642	343	1.0231	1.0992	Applied Mathematics	-360	1.036
1	862 mph	-0.1857	Fabrice	baseball	168	Andrew	-976 m/s	1306	-56	591	0.7829	0.1314	BIOINFORMATICS	-20	-2.2398
6	-81 mph	1.1979	Tony	golf	1470	Fabrice	-1516 m/s	1544	884	-113	0.2804	0.9136	Computer Game Design	-194	0.7297
0	-141 mph	-0.3678	Lise	motor sports	606	Eriq	238 m/s	855	263	891	2.108	2.6919	Statistics	736	0.7908
6	425 mph	1.7334	Tony	ice hockey	1028	Chris	917 m/s	609	1448	774	2.2572	0.9809	Computer Game Design	596	1.1295
6	688 mph	0.694	Lise	ice hockey	NULL	Fabrice	1105 m/s	-279	-110	346	0.3916	0.6294	Computer Game Design	1185	2.0182
0	1253 mph	1.3279	Lise	badminton	1722	Michael	1501 m/s	664	576	-1253	0.2354	0.5364	Bioengineering	-1374	1.7268
3	-324 mph	-0.2007	Andrew	soccer	2186	Tony	688 m/s	1311	1311	-1039	-0.7644	0.4114	Natural Language Processing	825	1.4127
6	1118 mph	1.8938	Tony	golf	1823	Chris	2002 m/s	831	-25	169	1.2049	-1.1068	Human Computer Interaction	1605	1.9992
1	1921 mph	-1.1861	Fabrice	baseball	-566	Andrew	315 m/s	142	991	24	0.1317	0.2942	BIOINFORMATICS	853	0.006
2	1095 mph	-0.8957	Reilly	track & field	1493	Reilly	-328 m/s	-425	1284	209	0.7836	1.576	Applied Mathematics	-1286	-1.1362
2	1610 mph	1.0181	Vani	boxing	287	Inan	1858 m/s	827	694	-359	0.1733	-0.1828	Applied Mathematics	1689	0.7748
5	545 mph	0.7594	Michael	football	-61	Sam	-733 m/s	-544	-589	89	1.5568	-0.7667	Biotechnology	-469	0.5837
1	834 mph	0.19	Fabrice	boxing	-576	Andrew	297 m/s	1354	-200	-1096	1.2482	1.7483	Bioinformatics	630	1.0635
5	-747 mph	0.529	Michael	running	1057	Sam	1145 m/s	-699	662	751	0.6394	0.1127	Biotechnology	-406	0.7164
2	1324 mph	-0.1331	Vani	track & field	-424	Reilly	1520 m/s	-252	639	-1311	0.1428	0.3697	Data Science	-187	-0.281
1	817 mph	0.4682	Inan	baseball	-845	Andrew	-264 m/s	352	96	-1739	0.5986	1.9345	Bioinformatics	178	0.1674
7	-417 mph	0.0535	Inan	basketball	n/a	Inan	1970 m/s	1876	67	172	0.5033	0.8666	Computational Media	483	0.5875
